Num_G_nodes, Avg_time, Max_cost, Avg_cost, Netx_avg_cost, Percent_MIS, Density
113,0.3002311229705811,6.0,5.2,4.0,1.0,0.7
114,0.30104970932006836,6.0,5.4,4.0,1.0,0.7
115,0.3352487564086914,6.0,5.8,4.6,1.0,0.7
116,0.3163436412811279,7.0,6.2,5.0,1.0,0.7
117,0.3129578590393066,6.0,5.4,5.0,1.0,0.7
118,0.3216544151306152,6.0,5.4,4.0,1.0,0.7
119,0.31580452919006347,6.0,5.4,4.2,1.0,0.7
120,0.3165584087371826,6.0,5.8,4.8,1.0,0.7
121,0.3351157188415527,6.0,5.6,4.8,1.0,0.7
122,0.3184323787689209,6.0,5.4,4.4,1.0,0.7
123,0.34267144203186034,6.0,5.8,4.0,1.0,0.7
124,0.3357079982757568,6.0,5.4,4.8,1.0,0.7
125,0.3573587894439697,6.0,5.4,4.2,1.0,0.7
126,0.33597664833068847,5.0,5.0,5.0,1.0,0.7
127,0.3585350513458252,6.0,5.4,3.8,1.0,0.7
128,0.35271396636962893,6.0,5.4,4.2,1.0,0.7
129,0.3553153514862061,6.0,5.6,4.8,1.0,0.7
130,0.36377415657043455,6.0,5.8,4.2,1.0,0.7
131,0.3743584156036377,6.0,5.4,4.6,1.0,0.7
132,0.34887094497680665,6.0,5.8,5.0,1.0,0.7
133,0.34014120101928713,6.0,5.8,4.6,1.0,0.7
134,0.40242772102355956,6.0,5.6,4.4,1.0,0.7
135,0.3690653800964355,6.0,5.4,4.6,1.0,0.7
136,0.3843522071838379,6.0,5.4,4.4,1.0,0.7
137,0.4078066825866699,6.0,5.6,4.4,1.0,0.7
138,0.3857853412628174,6.0,5.8,4.8,1.0,0.7
139,0.3887960433959961,6.0,6.0,4.2,1.0,0.7
140,0.4022667407989502,6.0,6.0,5.0,1.0,0.7
141,0.3502028942108154,6.0,5.6,4.2,1.0,0.7
142,0.4603102207183838,7.0,6.0,5.0,1.0,0.7
143,0.39350104331970215,6.0,5.6,4.4,1.0,0.7
144,0.41762261390686034,6.0,5.6,4.4,1.0,0.7
145,0.4041569709777832,6.0,5.6,4.8,1.0,0.7
146,0.4026331424713135,6.0,6.0,4.6,1.0,0.7
147,0.4054403781890869,6.0,5.6,4.6,1.0,0.7
148,0.4044963836669922,6.0,5.8,4.2,1.0,0.7
149,0.4176177978515625,6.0,5.6,4.8,1.0,0.7
150,0.4098364353179932,6.0,5.6,4.2,1.0,0.7
151,0.4218020439147949,6.0,5.8,4.4,1.0,0.7
152,0.3862332344055176,6.0,5.2,4.4,1.0,0.7
153,0.4350153923034668,6.0,5.6,4.2,1.0,0.7
154,0.4296457290649414,6.0,5.6,4.6,1.0,0.7
155,0.4522252559661865,7.0,6.0,5.0,1.0,0.7
156,0.4684150218963623,6.0,5.6,4.4,1.0,0.7
157,0.49055185317993166,6.0,6.0,4.0,1.0,0.7
158,0.45113205909729004,6.0,5.8,4.4,1.0,0.7
